case,episode,seed,target_index,assigned_defenders,active_defenders,active_hits,target_covered,active_group_complete,coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
case2,5,90005,0,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.32589175107317936,2.19277197548578,29.500000000000284
case2,5,90005,1,3,3,2,1,0,0,0.0,0.0,0.13195344073712562,2.5626287204349314,26.150000000000237
case2,5,90005,2,3,3,3,1,1,0,2.549999999999862,1.0888888888888293,0.13873745107318278,2.8727330586240165,65.59999999999842
case2,5,90005,3,3,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.20699551334785535,1.7150036744285593,28.100000000000264
case2,5,90005,4,2,2,2,1,1,1,0.0,0.0,0.2125351402263298,1.8476794833470174,24.850000000000218
case2,5,90005,5,2,1,1,1,1,1,0.0,0.0,0.32192008614870876,2.609196017788518,42.04999999999975
case2,5,90005,6,2,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.32124307251048345,2.304836200162989,26.35000000000024
case2,5,90005,7,2,2,2,1,1,1,0.0,0.0,0.3141165744925515,2.217359858904061,27.550000000000257
case2,6,90006,0,3,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.2508711358569276,1.5866753738115813,29.30000000000028
case2,6,90006,1,3,3,1,1,0,0,0.0,0.0,0.0534974016693848,2.4928112734199326,26.150000000000237
case2,6,90006,2,3,2,1,1,0,0,0.0,0.0,0.2853839919439145,2.8415886489120896,64.59999999999847
case2,6,90006,3,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.4278906613156313,2.4972623025219534,28.150000000000265
case2,6,90006,4,2,2,2,1,1,1,0.0,0.0,0.14626261416711112,2.0142431568016437,24.850000000000218
case2,6,90006,5,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.20609539926754955,2.2736491928340055,26.750000000000245
case2,6,90006,6,2,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2529614104785629,2.79449196780196,26.30000000000024
case2,6,90006,7,2,2,2,1,1,1,0.0,0.0,0.4181315382355227,1.9181940792898873,27.550000000000257
case2,7,90007,0,3,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.09876281409923857,2.553142351653942,29.500000000000284
case2,7,90007,1,3,2,1,1,0,0,0.0,0.0,0.2183760316825623,1.276496105344039,26.150000000000237
case2,7,90007,2,3,3,3,1,1,0,28.79999999999837,12.755555555554833,0.3438125966630737,2.7125411142127542,66.04999999999839
