update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
21,21504,441670.75836499967,1.0,0.0,1.0,1.0,1.0,0.875,0.5812499999999758,0.5723588307456497,0.16166977482926134,0.4661982069299733,0.5338017930700266,1,0.000816786743234843,0.21337483674287797,2.606253516674042,0.014617250467526688,0.9606640756130218,2.0634458869695664,1.22051662504673,0.5178783713675169,0.00025198071145717487,423.29785561561584
22,22528,45130.33662009612,0.0,0.0,0.95,1.0,0.875,0.75,3.8357142857140762,0.5650509378014206,0.1655172403793482,0.4595274556989718,0.5404725443010282,1,-0.0027804929413832724,0.034928592073265465,2.594706404209137,0.0007836872565943232,1.0176252603530884,1.003908245265484,0.7851909652352334,0.09596390775137205,0.00024759248322536254,443.08113980293274
23,23552,418996.1511502564,0.0,0.0,0.95,1.0,0.875,0.75,3.93571428571407,0.5650509378014206,0.1655172403793482,0.5055801594331266,0.4944198405668733,0,-0.0037202599458396437,0.2198061104863882,2.5819212675094603,0.010383602416846837,1.0199824780225755,3.160521426796913,1.3017337232828141,0.38742048900000015,0.0002430545454218202,462.79108715057373
24,24576,353700.7107580211,0.0,0.0,0.95,1.0,0.875,0.75,3.93571428571407,0.5586017407560453,0.1674560423767804,0.46195043964828136,0.5380495603517186,1,-0.004600504890549928,0.15142446383833885,2.5648723244667053,0.010007451972663617,0.9464189738035202,1.2489179044961929,1.1630502715706825,0.13508517176729928,0.00023837389521772477,483.168066740036
25,25600,67361.61909282766,0.0,0.0,0.95,1.0,0.875,0.75,0.5428571428571202,0.5526777524515814,0.17086232950835054,0.475,0.525,1,-0.0038514480693265796,0.04801940183388069,2.5518571734428406,0.017800372203867897,0.9601133942604065,1.0502794593572617,0.33861139621585606,0.11775321743115623,0.00023355774983643056,503.3864688873291
26,26624,397041.82300904393,0.0,0.0,0.9,1.0,0.75,0.625,7.066666666666328,0.5526777524515814,0.17086232950835054,0.5450805622214604,0.4549194377785396,0,0.01385281402617693,0.2023514561355114,2.542631208896637,-0.040965153107212694,1.0954215347766876,3.4278325140476227,0.8048784956336021,0.22729071791895117,0.00022861353542503438,523.1999127864838
27,27648,375683.3858406022,0.0,0.0,0.9,1.0,0.75,0.625,7.066666666666328,0.5454775928570161,0.17272720030709995,0.4704326923076923,0.5295673076923076,1,-0.003745018574409187,0.16314661242067813,2.5330108523368837,0.014001180228482023,0.9372550457715988,1.2579440474510193,0.7398539409041405,0.1320856216219817,0.00022354887560379483,543.9965660572052
28,28672,199512.04484532028,0.0,0.0,0.95,1.0,0.875,0.75,4.278571428571195,0.5410504038278308,0.1750669668720879,0.4583152973768505,0.5416847026231495,1,0.006011688802391291,0.08542435734998435,2.521618628501892,0.021763778881315754,0.9469133466482162,2.411810490489006,0.5203259643167257,0.47974383861241066,0.00021837157971106228,564.5879209041595
29,29696,264439.33656851575,0.0,0.0,0.95,1.0,0.875,0.875,0.12142857142857315,0.5395776600497113,0.1781589970493229,0.6833814649514308,0.3166185350485692,1,-0.01273831408470869,0.10119266845285893,2.5092994570732117,-0.00378736970490845,1.0414711683988571,2.8558392465114593,0.35701488330960274,0.07200697649251221,0.00021308963076184555,583.8582527637482
30,30720,331959.9604860544,0.0,0.0,0.75,0.875,0.625,0.625,0.13000000000000184,0.5395776600497113,0.1781589970493229,0.5112071725904579,0.4887928274095421,0,0.015031309792539105,0.13165241442620754,2.5027645111083983,0.041882850143986516,0.8962683051824569,3.311523547768593,1.1207883849740028,0.81,0.00020771117313858096,604.3519937992096
