update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
23,138000,165125943.83398438,1.0,1.0,0.020312499999998956,0.534744139773804,0.18644333710800234,0.46298333333333336,-0.015381771442480385,0.012144846515730024,2.5270516633987428,0.02162243858447609,0.0002626416049097537,714.6523187160492
24,144000,165351686.01953125,1.0,1.0,0.031249999999998335,0.532476854149632,0.18820867828304488,0.46639166666666665,-0.013777219783514738,0.011922109173610806,2.518778693675995,0.023586714060188047,0.00025948080979950103,745.834146976471
25,150000,165241368.84570312,1.0,1.0,0.015624999999999112,0.5302258397733601,0.18984693511715345,0.468275,-0.014147693669656292,0.012178565422073007,2.510793912410736,0.02118437398647268,0.00025621246378738883,776.0743269920349
26,156000,144839851.0517578,0.75,0.75,0.019419642857141754,0.5282726714966479,0.19133661696810705,0.467675,-0.00544799828203395,0.011217498360201717,2.502305471897125,0.021286300908774137,0.00025283979233633894,806.4775230884552
27,162000,165211079.1015625,1.0,1.0,0.02499999999999858,0.5263740638971688,0.19270066575541805,0.4719583333333333,-0.006972368439892307,0.012166646309196949,2.4951741337776183,0.018588852005439506,0.0002493661238658859,836.6415145397186
28,168000,165195807.15625,1.0,1.0,0.020312499999998845,0.5244184640177003,0.19390939687655556,0.47528333333333334,-0.011705759121105075,0.012159674288704991,2.4861228227615357,0.017190819003464034,0.0002457948864674291,866.7451622486115
29,174000,165134890.21777344,1.0,1.0,0.020312499999999067,0.5229268962733068,0.19498127202963703,0.47535,-0.01527786321239546,0.012127996794879437,2.478420317173004,0.02469365053584178,0.00024212960452111996,895.2432143688202
30,180000,144597019.67285156,0.75,0.75,0.018973214285713316,0.5212070642419849,0.19600183712313063,0.4778,-0.01075314769987017,0.011078168218955398,2.472124791145325,0.022142288398037974,0.00023837389521772471,925.3668911457062
31,186000,165060737.86523438,1.0,1.0,0.020312499999998845,0.51956147756217,0.19691820468987828,0.4791916666666667,-0.01013014188501984,0.011840518098324537,2.466143310070038,0.025061722779652705,0.0002345314649888935,955.467887878418
32,192000,165089476.36328125,1.0,1.0,0.0281249999999984,0.5186595099485253,0.19774316974560713,0.48096666666666665,0.003340699803084135,0.011910827551037072,2.460555851459503,0.013885484674312176,0.00023060610584935994,985.8837146759033
33,198000,165018150.38476562,1.0,1.0,0.023437499999999,0.5179565274683032,0.1985411599307674,0.4826083333333333,-0.0064395763212814925,0.012026342935860157,2.4545039534568787,0.01637084462698546,0.00022660169165468046,1016.3990654945374
34,204000,165194484.85351562,1.0,1.0,0.02499999999999869,0.5171973303843886,0.19913012983554576,0.48289166666666666,-0.012743597140070052,0.012095979694277049,2.447659599781036,0.01885816463703911,0.00022252217427820638,1045.295815229416
35,210000,144799812.53710938,0.75,0.75,0.024107142857141613,0.516508710682044,0.19970168684312894,0.4820833333333333,0.008317066309973597,0.010656570177525282,2.44176698923111,-0.0008866992799316839,0.0002183715797110622,1074.7549197673798
36,216000,164965073.37109375,1.0,1.0,0.021874999999998757,0.5155344610683102,0.20023856301655787,0.48511666666666664,0.011441409052349628,0.011732051009312272,2.4380218148231507,0.004042796415984632,0.00021415400408897832,1104.8430099487305
37,222000,165158014.828125,1.0,1.0,0.02499999999999858,0.5147826253270036,0.2006339543090152,0.48423333333333335,-0.0024712744052521884,0.011613910971209406,2.4331642150878907,0.02174988043082257,0.00020987360964989967,1136.140985250473
38,228000,165287254.63671875,1.0,1.0,0.028124999999998512,0.514387483435886,0.2011028011496928,0.4847166666666667,-0.009029007090430242,0.011758347880095244,2.4278173804283143,0.022430454967406886,0.00020553462062635936,1166.4376652240753
39,234000,165152160.109375,1.0,1.0,0.017187499999999023,0.5136867105081175,0.20159918122040107,0.48640833333333333,-0.010666000150376932,0.011947839334607125,2.4221238017082216,0.022988042792305353,0.00020114131907667107,1196.6902577877045
40,240000,165186967.2890625,1.0,1.0,0.020312499999998845,0.5131837479769258,0.2018877824658773,0.48665,-0.00726488012005575,0.011973802046850324,2.4172271490097046,0.019523108206323036,0.00019669804065905463,1227.5131895542145
41,246000,165130734.4921875,1.0,1.0,0.021874999999998757,0.5125385265732716,0.2022535365238686,0.4877,-0.01174051386769861,0.011707075824961066,2.412524402141571,0.02520034146497647,0.00019220917035286478,1257.0384366512299
42,252000,165274957.80664062,1.0,1.0,0.02499999999999858,0.5125214979861732,0.20248777277376498,0.48915,-0.012718659121310339,0.011565436888486148,2.4081268191337584,0.0253696596787125,0.00018767913813114574,1287.2813410758972
43,258000,165273430.65429688,1.0,1.0,0.020312499999998845,0.5124007491737066,0.20273587208007457,0.487025,-0.009993311064317823,0.011596666136756539,2.403875541687012,0.02292944901295626,0.0001831124145887831,1317.513025045395
44,264000,144861360.2109375,0.75,0.75,0.01919642857142748,0.5123185952177771,0.20291246517498,0.4860583333333333,0.0024111198959872126,0.010859419032931328,2.400450325012207,-0.016864202720771233,0.00017851350653056583,1347.8480739593506
45,270000,165273540.66503906,1.0,1.0,0.021874999999998868,0.5116781574468254,0.20316433746590645,0.4882416666666667,-0.002193092204106506,0.011993540357798338,2.396971118450165,0.02013628460333372,0.0001738869525235145,1376.6911282539368
46,276000,144720096.84472656,0.75,0.75,0.020982142857141665,0.5111990846307899,0.20341227463998898,0.48765,-0.003521277871914208,0.010611282614991068,2.3928786277770997,-0.033686452129061004,0.0001692373184178635,1407.1714158058167
47,282000,165139882.84960938,1.0,1.0,0.02187499999999898,0.5106869060221276,0.20360686329031494,0.48835,-0.0045116999419406055,0.011521796556189656,2.3889451026916504,0.022783595568053407,0.00016456919284111787,1437.8609702587128
48,288000,165206677.56835938,1.0,1.0,0.021874999999998757,0.5107880850214315,0.2037826575956119,0.49,0.0006238340807612986,0.011607857747003436,2.3845181465148926,-0.02028623883023859,0.00015988718266963235,1467.4705317020416
49,294000,165167096.75097656,1.0,1.0,0.020312499999998845,0.510863716000786,0.20381678670732756,0.48975833333333335,0.004486536234617233,0.011553112091496587,2.379403257369995,0.007692341244408552,0.00015519590848218017,1497.4796369075775
50,300000,165142820.5859375,1.0,1.0,0.02499999999999869,0.5107448398792195,0.20394691609537774,0.48859166666666665,0.01400745565770194,0.011337465327233075,2.3753957748413086,0.011278921201443299,0.0001505,1527.7013721466064
51,306000,144571649.4765625,0.75,0.75,0.020982142857141665,0.5104785370666921,0.2040554772531031,0.49078333333333335,0.005666999809909612,0.010448455717414618,2.3719690918922423,-0.07493566007276375,0.00014580409151781983,1557.081696987152
52,312000,165103415.52734375,1.0,1.0,0.017187499999999023,0.5106363778784487,0.20415416855873264,0.49154166666666665,0.014406514880101895,0.011898127710446715,2.368490719795227,0.020854602923627244,0.00014111281733036765,1588.6354022026062
53,318000,164954401.24414062,1.0,1.0,0.023437499999998668,0.5101351487133352,0.20436965709825358,0.48895,0.0024938867427408695,0.01169628594070673,2.364346981048584,0.018151896906696396,0.0001364308071588821,1618.1172244548798
54,324000,165171753.44726562,1.0,1.0,0.028124999999998512,0.5098262558894985,0.20442404802247383,0.491275,-0.005784715607296676,0.011600348632782698,2.3607223868370055,0.017891374139096205,0.00013176268158213652,1649.8343484401703
55,330000,165147312.79296875,1.0,1.0,0.017187499999999023,0.5097881386774938,0.20455481026247432,0.4894833333333333,-0.009185262816026806,0.011724940361455083,2.358395349979401,0.024709368573178847,0.00012711304747648549,1680.5214850902557
56,336000,165269098.99414062,1.0,1.0,0.021874999999998868,0.5097630663006555,0.2046115260601224,0.48886666666666667,-0.0040556539664976295,0.011597846867516637,2.3560962796211244,0.021670946493546173,0.00012248649346943417,1711.1331038475037
57,342000,165191392.18652344,1.0,1.0,0.023437499999998668,0.5095691553924996,0.2047145605432448,0.48678333333333335,-0.011885609192540869,0.011621871730312705,2.3539374232292176,0.017429034903844176,0.00011788758541121693,1739.9544668197632
58,348000,165253834.24414062,1.0,1.0,0.020312499999998845,0.5095221238568446,0.2047834230506299,0.4909,-0.008982939587440342,0.011680090567097068,2.352109956741333,0.025260716035328822,0.00011332086186885419,1770.1141867637634
59,354000,165043929.25683594,1.0,1.0,0.017187499999999023,0.5095067696295498,0.20478829625065856,0.49068333333333336,-0.00849684829590842,0.0117356576025486,2.3503473877906798,0.019939317966674787,0.00010879082964713523,1799.8290011882782
60,360000,165162373.08984375,1.0,1.0,0.034374999999998046,0.5096106916028399,0.20484616941079792,0.48875,-0.011898313532583416,0.011813283758237958,2.3484455823898314,0.024146964817655592,0.0001043019593409454,1830.5340433120728
61,366000,165129285.80664062,1.0,1.0,0.02499999999999858,0.50938025374431,0.20489514744312584,0.488375,-0.01063366923481226,0.011653799563646317,2.3466668486595155,0.025725247896015647,9.985868092332894e-05,1860.2444512844086
62,372000,165091266.16992188,1.0,1.0,0.020312499999998956,0.5093718721829302,0.2049154437257031,0.4930583333333333,0.002216978452634066,0.011569649865850806,2.3450801730155946,0.02115733272190516,9.546537937364069e-05,1888.416758298874
63,378000,165092791.20898438,1.0,1.0,0.026562499999998712,0.5093036517877987,0.2049358570583537,0.48856666666666665,-0.005184600039501675,0.011587913706898689,2.343521237373352,0.016379344925472206,9.112639035010029e-05,1918.187889099121
64,384000,165131953.6015625,1.0,1.0,0.020312499999998845,0.5094222677389472,0.20498543956405546,0.4893416666666667,-0.010085104370955379,0.011754645453765988,2.3419506669044496,0.018639057469169298,8.684599591102165e-05,1948.7772824764252
65,390000,144800094.91601562,0.75,0.75,0.02723214285714142,0.5094095674249592,0.20506105110643377,0.49161666666666665,0.003442865959368646,0.010496409377083182,2.340815579891205,-0.0295281219847749,8.262842028893778e-05,1978.7368731498718
66,396000,165224941.76660156,1.0,1.0,0.020312499999998845,0.5095728214846369,0.2050604565595251,0.49078333333333335,0.01283186837390531,0.011514132609590888,2.3397231101989746,0.008433953464059151,7.847782572179355e-05,2008.320226430893
67,402000,144941209.05859375,0.75,0.75,0.029464285714284277,0.5090859394708146,0.2051010698247603,0.4910333333333333,-0.005814810673473403,0.010513214580714702,2.3383473992347716,0.017891826614874096,7.43983083453195e-05,2037.2702143192291
68,408000,165372288.27148438,1.0,1.0,0.020312499999998845,0.5090889066963047,0.20520723399393384,0.49023333333333335,-0.009389016102068127,0.011618229979649185,2.3372228145599365,0.02270388018019496,7.039389415063998e-05,2068.247729539871
69,414000,165249248.42382812,1.0,1.0,0.021874999999998757,0.508938910832369,0.20526115893897967,0.4937166666666667,-0.01294249197235331,0.01148961465805769,2.3361433863639833,0.018841578745034848,6.646853501110648e-05,2098.3032608032227
70,420000,165259907.7265625,1.0,1.0,0.023437499999998668,0.5089059884165221,0.20535693587182466,0.4884583333333333,-0.013652732013724744,0.011387792229652405,2.335031235218048,0.02101709549962232,6.26261047822753e-05,2128.3106622695923
71,426000,165218804.95898438,1.0,1.0,0.031249999999998335,0.509074545174683,0.2053819569937976,0.490875,-0.011789823381695897,0.011782987276092172,2.334050726890564,0.022797195411361753,5.887039547888001e-05,2157.9496796131134
72,432000,165189953.75097656,1.0,1.0,0.031249999999998446,0.5089914461134653,0.20541724745442413,0.4904,-0.012303310015704482,0.011654621036723257,2.3330164551734924,0.020998175875184443,5.5205113532570895e-05,2188.2501804828644
73,438000,144790819.70214844,0.75,0.75,0.02276785714285596,0.5089328720161901,0.20554659667916053,0.488675,-0.004850904928753152,0.010359079344198108,2.332185745239258,0.01575472466642036,5.163387613411408e-05,2218.4514906406403
74,444000,165228083.55078125,1.0,1.0,0.021874999999998757,0.5087931840981257,0.20547915665800331,0.4896083333333333,-0.014451783942058682,0.011553711164742709,2.3314106345176695,0.02263914795413613,4.816020766366105e-05,2248.977206468582
75,450000,165139733.06347656,1.0,1.0,0.03437499999999816,0.5089457037437045,0.2054274145078719,0.49023333333333335,-0.009876254404662176,0.011423025745898485,2.3305375218391418,0.02204070731524378,4.478753621261117e-05,2279.5731875896454
76,456000,165190111.25195312,1.0,1.0,0.01249999999999929,0.5086296802917597,0.20536824823881747,0.49075833333333335,-0.011046818643808364,0.011615134868770837,2.329678773880005,0.01975491665255589,4.151919020049902e-05,2308.849400997162
77,462000,165187126.03710938,1.0,1.0,0.020312499999998845,0.5085802265827952,0.20526994310604493,0.490375,-0.014038085460197181,0.011483922461047768,2.3289005637168883,0.023865543666904167,3.83583950902463e-05,2339.8089401721954
78,468000,165115515.94335938,1.0,1.0,0.015624999999999223,0.5082217003763966,0.2054172601998819,0.491725,-0.010516501555684954,0.011641143402084709,2.3282065391540527,0.021124534128257856,3.5308270205019534e-05,2369.9056284427643
79,474000,165229341.35351562,1.0,1.0,0.017187499999999023,0.5084928880006814,0.20537970883860412,0.49159166666666665,-0.014287391910329461,0.011452114628627896,2.327544093132019,0.020681352462942403,3.2371825649834294e-05,2399.6091561317444
80,480000,165195881.78515625,1.0,1.0,0.017187499999999023,0.5087585006485873,0.20533139179687485,0.49116666666666664,-0.01452778761740774,0.011539235478267074,2.326950693130493,0.020569089531369756,2.9551959340945383e-05,2430.0985367298126
81,486000,165240056.21875,1.0,1.0,0.015624999999999112,0.5089855101097958,0.2054059315447815,0.490775,-0.01550278054201044,0.011617479613050818,2.3263525128364564,0.024596704530467584,2.6851454145953033e-05,2460.9539706707
82,492000,144800571.23242188,0.75,0.75,0.01763392857142757,0.5089145112527124,0.20533066729153565,0.49073333333333335,-0.0024199580831918864,0.01055060001090169,2.325875389575958,0.01356527557919423,2.4272975137448786e-05,2490.429396867752
83,498000,165240132.8125,1.0,1.0,0.02499999999999869,0.5089234374778238,0.2052582230365518,0.4932416666666667,-0.011129280878230929,0.011446503829210997,2.325425958633423,0.017339658422408012,2.1819066962910415e-05,2520.568192720413
84,504000,165277948.1376953,1.0,1.0,0.02656249999999849,0.5087313759942121,0.20521133201755007,0.4897916666666667,-0.015378233336377889,0.01170988236553967,2.3249831080436705,0.02305015992200623,1.94921513334424e-05,2550.200210571289
85,510000,165319178.63671875,1.0,1.0,0.02343749999999878,0.509003481295712,0.20516869076199665,0.492575,-0.014427481638267636,0.011535387625917793,2.3246450901031492,0.023040637093981096,1.729452463383902e-05,2579.7538273334503
86,516000,165232579.40429688,1.0,1.0,0.028124999999998623,0.508735370048794,0.20525852632029074,0.4913166666666667,-0.014391450659604742,0.011517197638750077,2.324267864227295,0.022518508969457278,1.5228355656330111e-05,2611.1575858592987
87,522000,144771052.03808594,0.75,0.75,0.02723214285714131,0.5088494588560286,0.2052193908681201,0.494125,-0.002783657272811979,0.010468710120767355,2.3239248514175417,0.013498738061127558,1.3295683460244858e-05,2642.0029175281525
88,528000,165098735.046875,1.0,1.0,0.02499999999999858,0.5088270620399522,0.20523147942834788,0.490475,-0.0117468070180621,0.011472056200727821,2.323689067363739,0.020978905792745462,1.1498415359706428e-05,2673.249382019043
89,534000,144757685.1875,0.75,0.75,0.027678571428569967,0.5084384194984909,0.20521355193990895,0.49056666666666665,-0.004389462777180597,0.010436910158023237,2.3234732508659364,0.016347683549025493,9.838325041343299e-06,2704.0105788707733
90,540000,165088352.20507812,1.0,1.0,0.02499999999999858,0.5083345925452185,0.20529558495481431,0.4906333333333333,-0.012923382350709289,0.011535688675940037,2.3232630610466005,0.018578859388170145,8.31705081387455e-06,2735.1914620399475
91,546000,165132260.43945312,1.0,1.0,0.0265624999999986,0.5084155391083768,0.2053468901572455,0.49209166666666665,-0.013663743299548513,0.011601757630705834,2.323038101196289,0.022502541601713767,6.93609399129703e-06,2763.9961581230164
92,552000,165211331.70117188,1.0,1.0,0.020312499999998845,0.5080075679414684,0.20540375820084789,0.48966666666666664,-0.014851575787179171,0.011483137449249625,2.3228100657463076,0.01993613421946454,5.696817411269672e-06,2793.2502574920654
93,558000,165239973.640625,1.0,1.0,0.031249999999998335,0.5083851083578019,0.20531857908165901,0.49420833333333336,-0.01506941601401195,0.011491767317056655,2.322601580619812,0.02040820745776873,4.600444090157277e-06,2823.305328130722
94,564000,165199068.92578125,1.0,1.0,0.02499999999999858,0.5084776716582209,0.20543645775199543,0.491975,-0.01173168510722462,0.011466939048841596,2.322391891479492,0.013606600791442514,3.6480560160610376e-06,2852.896898984909
95,570000,165332777.30664062,1.0,1.0,0.031249999999998335,0.5084275264530671,0.20546240629490892,0.490825,-0.016695006928785006,0.011588630732148886,2.32218941450119,0.019867192819539147,2.840593081026921e-06,2883.2513477802277
96,576000,165303944.10253906,1.0,1.0,0.026562499999998823,0.5082205984100918,0.20553987077429495,0.49040833333333333,-0.013160145556321367,0.011427014926448464,2.3220032453536987,0.013176387528598888,2.178852153485575e-06,2913.574822664261
97,582000,165439290.2861328,1.0,1.0,0.017187499999999023,0.5080640360861153,0.2055612699010465,0.49151666666666666,-0.01493874669649813,0.011552146263420581,2.321855700016022,0.01602078610464308,1.6634862918395411e-06,2944.1399009227753
98,588000,165502121.63085938,1.0,1.0,0.02499999999999858,0.5080191264811554,0.2056369884349388,0.49154166666666665,-0.013185772416181862,0.011609151354059577,2.32171174287796,0.011621562606090041,1.2950040999734023e-06,2974.886504173279
99,594000,165411354.2763672,1.0,1.0,0.029687499999998312,0.5082329652839308,0.2055862734694236,0.49185833333333334,-0.012823098228545859,0.011492289463058114,2.321614420413971,0.012346122249017145,1.0737692253231258e-06,3005.392117500305
100,600000,165606836.00097656,1.0,1.0,0.02656249999999849,0.508184268994016,0.20565573242459928,0.492375,-0.011525422061095015,0.011625315295532346,2.321537709236145,0.010742214704817154,1e-06,3035.471901655197
