version,seed,assignment_cost,mean_interception_probability,mean_adversarial_advantage,mean_pair_score,target_load_std,covered_target_fraction,capacity_feasible,maximum_target_load
V2,15,0.7405301149459756,0.5942761973846848,0.02945695781369296,0.6119503720729007,0.5,1.0,1,3
V1,16,0.9315682079616393,0.5477197651303902,-0.027200878582471173,0.5313992379809076,0.7071067811865476,1.0,1,3
V2,16,0.6844363236796103,0.5716311754411454,0.0163651873215662,0.581450287834085,0.5,1.0,1,3
V1,17,0.4699392097101811,0.6584029125471107,0.0532088504047595,0.6903282227899663,0.5,1.0,1,3
V2,17,0.6884556326506371,0.625598146943882,0.03876442581997854,0.6488568024358693,0.5,1.0,1,3
V1,18,0.5346572079484679,0.6208236240649418,0.0324386123647404,0.6402867914837862,0.5,1.0,1,3
V2,18,0.4366119517756841,0.6777324848166698,0.07282243357990278,0.7214259449646115,0.5,1.0,1,3
V1,19,0.4114310990687455,0.6693589172545,0.10236578411382183,0.7307783877227931,0.5,1.0,1,3
V2,19,1.0596528708883466,0.661983459190375,0.07304308565504672,0.705809310583403,0.7071067811865476,1.0,1,3
V1,20,0.3147496126203224,0.6960577740447728,0.027028878328720068,0.7122751010420048,0.5,1.0,1,3
V2,20,0.46112951146993386,0.640037350624428,0.027043670575978056,0.6562635529700148,0.7071067811865476,1.0,1,3
V1,21,0.09943973748807584,0.7768996295941742,0.11223509695991356,0.8442406877701224,0.5,1.0,1,3
V2,21,0.15638198536407508,0.762743352457568,0.10788759413525337,0.8274759089387199,0.5,1.0,1,3
V1,22,0.7728833321321541,0.564010709957575,0.0010970600657832495,0.564668945997045,0.7071067811865476,1.0,1,3
V2,22,0.6834507688232623,0.5905259141866136,0.03663587759339057,0.612507440742648,0.5,1.0,1,3
V1,23,0.7705716138994814,0.5833578679515331,0.01795492499394727,0.5941308229479015,0.5,1.0,1,3
V2,23,0.4384261943197064,0.639886441797938,0.037421993866651834,0.6623396381179291,0.5,1.0,1,3
V1,24,0.1745915540891998,0.7480130033553932,0.12144685035056343,0.8208811135657312,0.5,1.0,1,3
V2,24,0.3386363540471348,0.7474390250908252,0.13164773426171814,0.826427665647856,0.5,1.0,1,3
V1,25,0.7853939929558337,0.6080508109486458,0.0018956267081275846,0.6091881869735223,0.5,1.0,1,3
V2,25,0.9123358806435858,0.6879458116371197,0.07785706232956563,0.734660049034859,0.7071067811865476,1.0,1,3
V1,26,0.10261538785447494,0.7732533189869707,0.18305798185983177,0.8830881081028699,0.5,1.0,1,3
V2,26,0.031677832758558254,0.835391545744805,0.241776793581912,0.980457621893952,0.5,1.0,1,3
V1,27,0.5173711509514419,0.6824786243649468,0.08617578208000265,0.7341840936129482,0.5,1.0,1,3
V2,27,0.6031850302823681,0.6770108563535779,0.09668498267624802,0.735021845959327,0.5,1.0,1,3
V1,28,0.1608023312220723,0.7234553129019523,0.09694685908971254,0.7816234283557797,0.5,1.0,1,3
V2,28,0.5036446449387074,0.6375002385394251,0.042172724403589434,0.6628038731815789,0.7071067811865476,1.0,1,3
V1,29,0.3298725596497457,0.6751026335981519,0.0635831836600148,0.7132525437941608,0.5,1.0,1,3
V2,29,0.5716841287227079,0.6860333105797211,0.08471574084628515,0.7368627550874922,0.7071067811865476,1.0,1,3
