episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,eval_seed,chunk,source_summary
12,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76072,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
13,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76073,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
14,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76074,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
15,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76075,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
16,case1,8,19,8,7,True,False,0.05000114440917969,0.02142878994345665,76076,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
17,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76077,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
18,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76078,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
19,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76079,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
20,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76080,3,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_03/case1/case1_episode_summary.csv
1,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,76081,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
2,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76082,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
3,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76083,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
4,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76084,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
5,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76085,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
6,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76086,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
7,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76087,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
8,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76088,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
9,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76089,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
10,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76090,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
11,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76091,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
12,case1,8,20,8,8,True,True,0.05000114440917969,0.03749990463256836,76092,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
13,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76093,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
14,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76094,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
15,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,76095,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
16,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76096,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
17,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76097,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
18,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76098,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
19,case1,8,20,8,8,True,True,0.05000114440917969,0.03125,76099,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
20,case1,8,20,8,8,True,True,0.05000114440917969,0.02500009536743164,76100,4,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case1/chunk_04/case1/case1_episode_summary.csv
1,case2,8,18,8,6,True,False,27.699996948242188,4.028570652008057,77001,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
2,case2,8,18,8,6,True,False,28.5,4.128571033477783,77002,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
3,case2,8,17,8,5,True,False,0.1999988555908203,0.0642852783203125,77003,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
4,case2,8,17,8,6,True,False,0.14999961853027344,0.0642852783203125,77004,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
