update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
24,24576,772727.7267558635,1.0,1.0,1.0,1.0,1.0,1.0,0.031249999999999556,0.5212159548094504,0.19279098273998022,0.49133699958606825,0.5086630004139318,1,0.0023525928845629096,0.3407769680023193,2.461342120170593,5.2992046328967366e-05,0.9979161143302917,3.0719325214624407,0.6604956891387701,0.40503924277038106,0.0002987600036183236,656.4231350421906
25,25600,552154.3726512045,1.0,1.0,1.0,1.0,1.0,1.0,0.046875,0.5200998650558142,0.19412883254624655,0.5200135455469015,0.47998645445309857,2,-0.0050787021609721705,0.24165627285838126,2.4495861530303955,0.004523907397892729,1.0023620843887329,1.2375561088323592,1.0933874674141406,0.06754913047177007,0.0002986546762972634,682.3837993144989
26,26624,442564.91068133106,1.0,1.0,1.0,1.0,1.0,1.0,0.03125,0.519663689959692,0.19812910999205488,0.49805919456574477,0.5019408054342552,1,0.0005852328380569815,0.21394699513912202,2.4414253711700438,0.013757697191715657,0.9894583821296692,1.6360281586647034,1.1380606174468995,0.13038531510789278,0.00029854507627686487,708.2807769775391
27,27648,816259.5248787701,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.518761004730232,0.19921722820387736,0.5032799604994005,0.49672003950059956,1,0.004725866520311683,0.362166465818882,2.4312697052955627,0.009245747182736486,0.9892887741327285,3.289703643321991,0.48050590604543686,0.31381059609000017,0.00029843120671793226,733.770055770874
28,28672,508384.8011478055,1.0,1.0,1.0,1.0,1.0,1.0,0.04062499999999991,0.5162204563473365,0.2002978747040168,0.48714060414897487,0.5128593958510251,2,-0.0039921226678416135,0.22771686911582947,2.417509114742279,0.0037583058284227588,0.9912559986114502,1.5762488663196563,0.5367765802890062,0.06461081889226679,0.000298313070904401,760.5792322158813
29,29696,596667.3774920702,1.0,1.0,1.0,1.0,1.0,1.0,0.031250000000000444,0.5124312634573365,0.19972657234264415,0.5051762312249417,0.49482376877505835,1,0.004671115032397211,0.25548679009079933,2.408777618408203,0.00823035800899644,1.0069525212049484,2.4875373780727386,0.6379287771880626,0.20785616636392418,0.0002981906722432429,786.6888229846954
30,30720,727993.3601382077,1.0,1.0,1.0,1.0,1.0,1.0,0.031249999999999778,0.5118069662584588,0.20129731817819707,0.5073232700642655,0.4926767299357346,2,-0.004470433562528342,0.33688215762376783,2.3987876415252685,0.01587626562681983,0.9833850204944611,1.9118554621934891,0.7871773391962051,0.12079160642156532,0.00029806401426436807,813.4006223678589
31,31744,442670.37870948017,1.0,1.0,1.0,1.0,1.0,1.0,0.031249999999999556,0.5103388305137262,0.1980622414251218,0.5007683988843986,0.49923160111560133,1,-6.236473564058542e-05,0.23139062374830247,2.3877519488334658,-0.0046934470789537054,1.0071504682302475,2.42787866294384,1.257296547293663,0.15543700371042107,0.00029793310062052294,839.7161118984222
32,32768,816399.5907137468,1.0,1.0,1.0,1.0,1.0,1.0,0.037499999999999645,0.5106574062614384,0.2011532678897449,0.521505018945689,0.478494981054311,1,-0.004675229865824804,0.35894494503736496,2.3760547041893005,0.023034592536698602,0.9775912046432496,1.745908683538437,0.28504428192973136,0.5162849793054367,0.00029779793508718486,865.5167365074158
33,33792,508276.6908380389,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.5084870528432004,0.20205755606410375,0.501031459515214,0.49896854048478595,2,-0.005717258621007204,0.22710273861885072,2.3627990007400514,-0.010628835473102161,1.0171649158000946,1.3793336361646653,0.6753393620252609,0.08610178408685368,0.0002976585215624535,892.1236090660095
34,34816,442469.1639996767,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.5073399473566899,0.20309008765155526,0.5104626244800202,0.48953737551997983,1,-0.0023100038524717093,0.20579181164503096,2.3523080348968506,0.006650695791278444,0.9993214517831802,1.9647567719221115,0.8490731328725815,0.15198554356148272,0.0002975148640669382,918.5471584796906
35,35840,882261.9482640624,1.0,1.0,1.0,1.0,1.0,1.0,0.028124999999999956,0.5075239071907055,0.20283967944235512,0.5339468302658487,0.46605316973415134,2,0.0010908767813816666,0.40308718383312225,2.3423840284347532,0.0017942065956634834,1.0079198986291886,2.8023844450712203,1.5491580829024314,0.21730885851315473,0.00029736696674364203,944.4611322879791
36,36864,442424.26097750664,1.0,1.0,1.0,1.0,1.0,1.0,0.04375000000000018,0.5073232531091274,0.20315655076604913,0.5183404229085753,0.4816595770914247,1,-0.0029022369184531272,0.2269704185426235,2.330504834651947,0.013462206010377679,0.9857752025127411,1.6155228555202483,1.6956906393170357,0.28414092677354397,0.0002972148338578425,970.2199759483337
37,37888,442412.88952201605,1.0,1.0,1.0,1.0,1.0,1.0,0.02499999999999991,0.5056973950402192,0.20418553298265135,0.5350110835832572,0.4649889164167427,1,-0.0017921606544405223,0.20227493196725846,2.3194767355918886,-0.009758040309018723,1.5665323466062546,1.8651522412896155,0.8816444650292397,0.2193828640793541,0.0002970584697969682,995.9953951835632
