update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
18,108000,243694.86845029402,0.0,0.0,0.55,0.65625,0.46875,0.4375,0.9843749999999519,0.4237832216182496,0.1645211505893581,0.57835,0.00040807909099385144,0.2697348684072495,2.648158586025238,0.02892210550450409,8.317050813874547e-06,625.5279276371002
19,114000,233039.4033083506,0.0,0.0,0.525,0.625,0.4375,0.40625,0.6079166666666378,0.42746055989840154,0.1687568878841238,0.576325,-0.0013817150495015085,0.2515983387827873,2.64778790473938,-0.01640491979889571,2.84059308102692e-06,661.5165421962738
20,120000,183047.48660949236,0.0,0.0,0.4125,0.59375,0.25,0.15625,4.31874999999976,0.425017498772429,0.16703557279790757,0.571925,-0.0026820171216968445,0.22411397024989127,2.6473977327346803,0.012620414486235632,1e-06,699.8503806591034
21,126000,160291.69475756958,0.0,0.0,0.36249999999999993,0.5,0.21875,0.21875,0.35625000000000506,0.42328173091436927,0.16478180959379668,0.5761333333333334,0.051240611169487235,0.19344951957464218,2.6427335143089294,0.10349356402993201,0.0002998847409179881,39.916529417037964
22,132000,233075.11493484396,0.0,0.0,0.525,0.6875,0.40625,0.40625,0.6766666666666363,0.42694822167911833,0.16442070819469728,0.5785916666666666,-0.0061246811441378664,0.26648457124829295,2.6282233953475953,0.001347541723428325,0.0002995391413931026,81.80891823768616
23,138000,188405.16094790772,0.0,0.0,0.425,0.5625,0.25,0.25,0.6874999999999694,0.42628258569761357,0.16152036471003847,0.5735833333333333,-0.005728943436406553,0.22849170565605165,2.616627299785614,0.021794027380437297,0.00029896373431476147,123.15893197059631
24,144000,167267.7338982839,0.0,0.0,0.375,0.5625,0.15625,0.125,2.2749999999998725,0.42371998236131986,0.1580202631856774,0.5739583333333333,-0.004390066690393724,0.21705014854669571,2.603936457633972,0.011568737081376212,0.00029815940691897306,163.88801980018616
25,150000,139442.26510863053,0.0,0.0,0.3125,0.375,0.15625,0.09375,2.8812499999998398,0.4185917581152177,0.15328023322483106,0.5764083333333333,-0.007245642025372945,0.1935301959514618,2.589638018608093,0.021194310937002303,0.00029712739942028293,205.5088083744049
26,156000,178131.0156669364,0.0,0.0,0.4,0.5625,0.1875,0.0625,3.9937499999997788,0.41846523326097546,0.15206852140800714,0.5801166666666666,-0.006497537007089704,0.23564807772636415,2.5759525299072266,0.01835000771828308,0.00029586930309945264,245.69470191001892
27,162000,144920.14682338736,0.0,0.0,0.32499999999999996,0.4375,0.125,0.03125,4.966666666666385,0.41500686269749265,0.14816504568045166,0.5822166666666667,-0.005330340540967882,0.20074101239442826,2.563327419757843,0.016341028778273526,0.00029438705784982027,284.87641429901123
28,168000,133845.47472796869,0.0,0.0,0.3,0.40625,0.125,0.09375,2.2083333333332096,0.41153650599556313,0.1442075559714926,0.5845083333333333,-0.004625277844024822,0.18887256756424903,2.548018455505371,0.02067157242886104,0.0002926829491861255,327.5916836261749
29,174000,205558.75524663087,0.0,0.0,0.46249999999999997,0.46875,0.4375,0.375,1.1354166666666126,0.41658399094038207,0.1497309058736835,0.5893916666666666,-0.00528291444061324,0.2690713949501514,2.530428159236908,0.016972464410706146,0.0002907596047204114,368.16517782211304
30,180000,199876.27716259914,0.0,0.0,0.45,0.5,0.375,0.28125,1.4781249999999218,0.4211615446928022,0.15464471077303366,0.582075,-0.004114165040664375,0.25946098044514654,2.514997112751007,0.012459354260750111,0.00028861999011043737,407.3269691467285
31,186000,194098.93620264623,0.0,0.0,0.4375,0.5,0.34375,0.28125,1.3708333333332698,0.4249432671256718,0.15897352125753578,0.5775666666666667,-0.004886202301713638,0.25230920389294625,2.500692903995514,0.01083026144508894,0.00028626740448684966,440.6947178840637
32,192000,177932.85418850312,0.0,0.0,0.4,0.5,0.25,0.21875,0.8937499999999754,0.4274605138349023,0.16170665030881484,0.5758083333333334,-0.0036640420323237775,0.23293770998716354,2.4867838859558105,0.014686284318069554,0.00028370547536616097,472.021603345871
33,198000,178248.8385273933,0.0,0.0,0.39999999999999997,0.5,0.25,0.21875,0.5812499999999778,0.4290876808481823,0.16316203593750386,0.5720333333333333,-0.006087954179383815,0.22953695580363273,2.472917139530182,0.019426330791066083,0.0002809381530573832,504.51535153388977
34,204000,205602.46302421088,0.0,0.0,0.46249999999999997,0.5,0.40625,0.3125,1.6520833333332525,0.4333475908127034,0.16835958945432858,0.5708333333333333,-0.00563714619493112,0.2652513198554516,2.457894444465637,0.018276730904864768,0.0002779697045709368,540.7960104942322
