update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
19,114000,165095683.35742188,1.0,1.0,0.02499999999999869,0.5495357071790774,0.17804632149710695,0.4458083333333333,-0.01368545422446914,0.009977229638025165,2.5580060482025146,0.017992841609173138,0.000274148545854047,621.0535428524017
20,120000,165369233.109375,1.0,1.0,0.020312499999999067,0.5456159374587368,0.1809145479774356,0.45034166666666664,-0.011997777340002357,0.009694853564724326,2.547676205635071,0.018784669144248235,0.00027144804065905466,653.7635247707367
21,126000,165402552.74804688,1.0,1.0,0.021874999999998757,0.541987572710332,0.1835912273437856,0.45431666666666665,-0.01501401155255735,0.009999541752040386,2.5377588629722596,0.014018425434467652,0.0002686281743501657,686.9994893074036
22,132000,165388349.09375,1.0,1.0,0.02499999999999858,0.5389805733715881,0.1857174295533802,0.457175,-0.013591825164621697,0.00984138362109661,2.5266803979873655,0.021580390338326483,0.0002656917297949805,724.8380072116852
23,138000,165266080.5439453,1.0,1.0,0.02499999999999858,0.5357820216056364,0.18774145841759535,0.459625,-0.014147725002840162,0.010169754456728696,2.516713285446167,0.016679057146192822,0.0002626416049097537,758.3570094108582
24,144000,165515350.1484375,1.0,1.0,0.0265624999999986,0.5332476815465379,0.189464701505064,0.463925,-0.015189172036480158,0.009821022348478436,2.506843829154968,0.01833321538773678,0.00025948080979950103,790.8950836658478
25,150000,165635265.22851562,1.0,1.0,0.021874999999998868,0.5309383819595579,0.19101918468062393,0.46621666666666667,-0.015451522980583832,0.009926733653992414,2.4966750144958496,0.024903827806711187,0.00025621246378738883,823.902086019516
26,156000,145300713.1484375,0.75,0.75,0.020982142857141665,0.5284473236515927,0.19270188686827053,0.46900833333333336,-0.01546149862697348,0.00900818076916039,2.487648046016693,0.014029874406311038,0.00025283979233633894,856.3310949802399
27,162000,165580546.62597656,1.0,1.0,0.02656249999999849,0.5265844889966288,0.1941094117219704,0.470375,-0.015346111918915994,0.0095082335639745,2.4797610878944396,0.01904632122915668,0.0002493661238658859,889.6016135215759
28,168000,165515100.02929688,1.0,1.0,0.021874999999998757,0.5248438290252638,0.19524697880801914,0.473175,-0.015209753077942877,0.009246153710409998,2.4727091193199158,0.022538271893591942,0.0002457948864674291,925.0758600234985
29,174000,165440948.890625,1.0,1.0,0.028124999999998623,0.5231644895823326,0.19629439028617768,0.4765916666666667,-0.013303334653028288,0.009793925751000642,2.465890574455261,0.0244229917677802,0.00024212960452111996,958.6308603286743
30,180000,165262806.30273438,1.0,1.0,0.029687499999998646,0.5218471588580709,0.197140696484469,0.4756,-0.011978768557310105,0.009451947407796979,2.4596147179603576,0.024930090029450725,0.00023837389521772471,991.8374631404877
31,186000,144888360.18164062,0.75,0.75,0.022544642857141577,0.520449951388503,0.19810333172527644,0.47729166666666667,-0.013774248084519058,0.008327648648992181,2.4533777594566346,0.013911485033212222,0.0002345314649888935,1023.9191691875458
32,192000,165401361.56640625,1.0,1.0,0.020312499999998956,0.5195087488535087,0.19876447858747096,0.4789333333333333,-0.01321502921055071,0.009492190741002559,2.4480257630348206,0.019465516474035736,0.00023060610584935994,1057.4286651611328
