update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
17,17408,419452.4806958884,0.0,0.0,0.95,1.0,0.875,0.875,0.1285714285714304,0.5860619707761596,0.137294360837655,0.47042222945837403,0.5295777705416259,0,-0.004527316562598571,0.46360223591327665,2.5698567390441895,0.0330263278686989,0.9759963005781174,1.7448388367891312,1.114885425567627,0.35200624288967497,0.0002679048811666714,356.0973949432373
18,18432,397630.8328865543,1.0,0.0,1.0,1.0,1.0,0.875,3.187499999999827,0.5799247999735603,0.1429219342984045,0.4527757155819517,0.5472242844180484,1,0.0010815689543960615,0.40785635709762574,2.561521589756012,0.012555918351370187,0.993299686908722,2.0509587228298187,0.7039874576032161,0.5032983600898555,0.0002641806918572047,377.41085624694824
19,19456,397655.80592595413,1.0,0.0,1.0,1.0,1.0,0.875,0.631249999999973,0.5739622366734849,0.148908987319567,0.46325596337643565,0.5367440366235644,1,-0.0010390415089204907,0.4174454167485237,2.5489837646484377,-0.006358835946235275,1.0053114742040634,1.5913059264421463,0.5037502191960812,0.09326220222625262,0.00026028121516063503,398.8719389438629
20,20480,66721.72937159985,0.0,0.0,0.9,1.0,0.875,0.75,3.9571428571426415,0.563663275576077,0.15406139194158588,0.4749850209706411,0.5250149790293589,1,-0.0017986492952331901,0.0953598903492093,2.539772665500641,0.011147666999715422,0.9918610781431199,3.2815828770399094,0.2538211975246668,0.3704062576775319,0.0002562124637873889,419.1941680908203
21,21504,397444.7478108406,0.0,0.0,0.9,1.0,0.75,0.75,0.13333333333333522,0.563663275576077,0.15406139194158588,0.4710259301014656,0.5289740698985343,0,-0.001854582582018338,0.4040656670928001,2.52658097743988,0.00498642217498142,0.9956805169582367,1.4183942198753356,0.5860891755670309,0.05559599215783545,0.00025198071145717487,439.7292847633362
22,22528,331668.46503987163,0.0,0.0,0.95,1.0,0.875,0.75,3.728571428571225,0.5572605944384976,0.1566751271269208,0.45923824959481363,0.5407617504051864,1,0.009351925662485883,0.3309847846627235,2.5179582834243774,0.036211588190801426,0.9571537345647811,3.4481392592191695,0.4886235401034355,0.5314410000000002,0.00024759248322536254,461.04632663726807
23,23552,65764.05865025916,0.0,0.0,0.85,1.0,0.75,0.625,4.399999999999759,0.5471818394716008,0.16059934121885144,0.4499811723358855,0.5500188276641145,1,-0.0038335372868459673,0.06704797083511949,2.5051975011825562,-0.005779017690357791,1.0351654291152954,1.0343663543462753,0.3435614824295044,0.06461081889226679,0.0002430545454218202,481.59205293655396
24,24576,419295.0875109881,0.0,0.0,0.95,1.0,0.875,0.875,0.12142857142857315,0.5471818394716008,0.16059934121885144,0.5194180898165718,0.4805819101834282,0,-0.004323047000798397,0.4177531272172928,2.495679271221161,0.00865807505345383,0.9987020134925843,1.1890193313360213,0.8543477900326252,0.01824800363140075,0.00023837389521772477,501.98960757255554
25,25600,441557.9455886632,1.0,0.0,1.0,1.0,1.0,0.875,0.4249999999999843,0.5448344260898518,0.1644723384987677,0.473666239863423,0.5263337601365771,1,-0.00287548495689407,0.4333802476525307,2.493193006515503,0.030559981042300777,0.989095076918602,1.558034759759903,0.887065502256155,0.24854240004437303,0.00023355774983643056,522.4643876552582
26,26624,353625.8078589961,1.0,0.0,1.0,1.0,1.0,0.875,3.4812499999998106,0.5430141882768338,0.16761917501838988,0.48538880633977216,0.5146111936602278,1,-0.0028113524429500105,0.3326095640659332,2.48729567527771,0.008179828240334119,0.9927231341600418,1.157801902294159,0.2697098072618246,0.0631761433563668,0.00022861353542503438,543.5718932151794
