case,episode,seed,defender_id,target_index,hit_time_s,terminal_abs_ny_g,hit_distance_m
case2,4,90004,5,5,26.700000000000244,0.3175295785913117,2.921587734322134
case2,4,90004,13,5,26.750000000000245,0.5126973792013719,0.7173001252529534
case2,4,90004,7,7,27.550000000000257,0.6560600905384272,2.6394644060451835
case2,4,90004,15,7,27.550000000000257,0.2985988663332797,2.024311327646829
case2,4,90004,11,3,27.950000000000262,0.18735166063205846,1.9530440861317535
case2,4,90004,19,3,27.950000000000262,0.031715615814971926,1.3134191356954505
case2,4,90004,3,3,28.150000000000265,0.24748813593439967,1.6878328450665634
case2,4,90004,0,0,29.10000000000028,0.18323816406959773,2.971347961199039
case2,4,90004,8,0,29.15000000000028,0.28769081598725615,2.3301847709670014
case2,4,90004,16,0,29.30000000000028,0.40029097814521347,1.4623414090583007
case2,5,90005,4,4,24.850000000000218,0.024974245126913097,2.092004485770813
case2,5,90005,12,4,24.850000000000218,0.4000960353257465,1.6033544809232219
case2,5,90005,9,1,26.150000000000237,0.256690530132208,2.900929416802314
case2,5,90005,17,1,26.150000000000237,0.007216351342043209,2.2243280240675483
case2,5,90005,14,6,26.250000000000238,0.10100046779524542,1.6811608053323557
case2,5,90005,6,6,26.35000000000024,0.5414856772257215,2.9285115949936222
case2,5,90005,7,7,27.550000000000257,0.19380485549361795,2.028205844147263
case2,5,90005,15,7,27.550000000000257,0.434428293491485,2.406513873660859
case2,5,90005,11,3,27.950000000000262,0.24222687964506256,2.143980721838299
case2,5,90005,19,3,27.950000000000262,0.09147209945322574,0.4709113776359474
case2,5,90005,3,3,28.100000000000264,0.28728756094527774,2.530118923811431
case2,5,90005,8,0,29.450000000000284,0.4493612925236446,2.3507713662307776
case2,5,90005,16,0,29.500000000000284,0.20242220962271415,2.0347725847407827
case2,5,90005,5,5,42.04999999999975,0.32192008614870876,2.609196017788518
case2,5,90005,10,2,63.049999999998555,0.19975663516290026,2.7896426336147204
case2,5,90005,2,2,63.24999999999854,0.13026717374297675,2.878029971247879
case2,5,90005,18,2,65.59999999999842,0.08618854431367129,2.950526571009451
