case,episode,seed,original_interception_success,original_cooperative_success,asset_safe_interception_success,asset_safe_active_group_success,asset_safe_cooperative_success,breach_before_first_hit_target_indices,not_completed_before_breach_target_indices,mission_first_hit_completion_time_s,mission_active_group_completion_time_s
case2,36,90036,1,0,1,0,0,,1;2,37.15000000000003,nan
case2,37,90037,1,1,1,1,1,,,37.30000000000002,37.350000000000016
case2,38,90038,1,0,1,0,0,,1,37.15000000000003,nan
case2,39,90039,0,0,0,0,0,4;5,4;5;7,nan,nan
case2,40,90040,0,0,0,0,0,7,1;7,nan,nan
case2,41,90041,0,0,0,0,0,6,6,nan,nan
case2,42,90042,0,0,0,0,0,2,1;2;7,nan,nan
case2,43,90043,0,0,0,0,0,7,1;7,nan,nan
case2,44,90044,1,1,1,1,1,,,48.29999999999939,48.29999999999939
case2,45,90045,1,0,1,0,0,,2,37.200000000000024,nan
case2,46,90046,0,0,0,0,0,6,1;2;6,nan,nan
case2,47,90047,1,0,1,0,0,,1,63.199999999998546,nan
case2,48,90048,1,0,1,1,0,,,37.25000000000002,63.59999999999852
case2,49,90049,1,0,1,0,0,,1;2,66.99999999999834,nan
case2,50,90050,0,0,0,0,0,6,2;6;7,nan,nan
case2,51,90051,0,0,0,0,0,1,1,nan,nan
case2,52,90052,1,0,1,0,0,,1,64.59999999999847,nan
case2,53,90053,0,0,0,0,0,4;7,2;4;7,nan,nan
case2,54,90054,0,0,0,0,0,4,1;2;4,nan,nan
case2,55,90055,0,0,0,0,0,4,2;4,nan,nan
case2,56,90056,1,0,1,1,0,,,37.15000000000003,64.69999999999847
case2,57,90057,0,0,0,0,0,1;7,1;2;7,nan,nan
case2,58,90058,0,0,0,0,0,7,7,nan,nan
case2,59,90059,0,0,0,0,0,4,1;4,nan,nan
case2,60,90060,1,0,1,0,0,,1;2,37.15000000000003,nan
case2,61,90061,0,0,0,0,0,6,1;6,nan,nan
case2,62,90062,1,0,1,0,0,,2;3;7,37.15000000000003,nan
case2,63,90063,1,0,1,0,0,,1;2,63.69999999999852,nan
case2,64,90064,1,0,1,0,0,,2,37.15000000000003,nan
case2,65,90065,0,0,0,0,0,4;7,1;2;4;7,nan,nan
case2,66,90066,1,1,0,0,0,5,5,nan,nan
case2,67,90067,0,0,0,0,0,1;4,1;4,nan,nan
case2,68,90068,1,0,1,0,0,,1,62.849999999998566,nan
case2,69,90069,0,0,0,0,0,4,1;4,nan,nan
case2,70,90070,0,0,0,0,0,5,2;5,nan,nan
case2,71,90071,1,0,1,0,0,,1,37.30000000000002,nan
case2,72,90072,0,0,0,0,0,4,1;3;4,nan,nan
case2,73,90073,1,0,1,0,0,,1,37.15000000000003,nan
case2,74,90074,0,0,0,0,0,5;6,1;5;6,nan,nan
case2,75,90075,0,0,0,0,0,2,1;2,nan,nan
case2,76,90076,1,0,1,0,0,,7,37.30000000000002,nan
case2,77,90077,1,0,1,0,0,,1,42.14999999999974,nan
case2,78,90078,0,0,0,0,0,7,1;7,nan,nan
case2,79,90079,0,0,0,0,0,7,1;7,nan,nan
case2,80,90080,0,0,0,0,0,7,1;4;7,nan,nan
case2,81,90081,0,0,0,0,0,6,1;6,nan,nan
case2,82,90082,0,0,0,0,0,4,4,nan,nan
case2,83,90083,1,1,1,1,1,,,67.09999999999833,67.24999999999832
case2,84,90084,0,0,0,0,0,4;7,4;7,nan,nan
case2,85,90085,1,0,1,0,0,,1;2;7,63.749999999998515,nan
case2,86,90086,0,0,0,0,0,3,1;3,nan,nan
case2,87,90087,1,0,1,1,0,,,62.2499999999986,62.99999999999856
case2,88,90088,0,0,0,0,0,1,1;2;7,nan,nan
case2,89,90089,1,0,0,0,0,5,1;5,nan,nan
case2,90,90090,0,0,0,0,0,7,1;2;7,nan,nan
case2,91,90091,0,0,0,0,0,7,1;7,nan,nan
case2,92,90092,1,0,1,0,0,,1;7,42.14999999999974,nan
case2,93,90093,1,0,1,0,0,,1,63.949999999998504,nan
case2,94,90094,1,0,1,0,0,,1,63.69999999999852,nan
case2,95,90095,0,0,0,0,0,7,2;7,nan,nan
case2,96,90096,1,1,1,1,1,,,62.54999999999858,62.59999999999858
case2,97,90097,0,0,0,0,0,6,6,nan,nan
case2,98,90098,1,0,1,1,0,,,63.399999999998535,64.89999999999846
case2,99,90099,1,0,1,0,0,,1,48.249999999999396,nan
case2,100,90100,0,0,0,0,0,5;7,5;7,nan,nan
