case,seed,defender_id,assigned_target_id,hit,hit_time_s,recorded_hit_distance_m,trajectory_min_distance_m,trajectory_min_distance_time_s,min_distance_margin_from_hit_radius_m
case2,77023,4,24,True,24.85,2.6364329367355572,2.6364329367355572,24.85,-0.36356706326444277
case2,77023,5,25,True,26.75,1.8619638961966785,1.8619638961966785,26.75,-1.1380361038033215
case2,77023,6,26,True,26.3,2.382664842069328,2.382664842069328,26.3,-0.6173351579306718
case2,77023,7,27,True,27.55,0.4063321676318343,0.4063321676318343,27.55,-2.593667832368166
case2,77023,8,20,True,29.15,2.2575326235224815,1.7267612106925037,29.200000000000003,-1.2732387893074963
case2,77023,9,21,True,26.1,2.8783509974738584,1.1698615241221686,26.150000000000002,-1.8301384758778314
case2,77023,10,22,True,64.55,2.739865505099518,2.739865505099518,64.55,-0.2601344949004818
case2,77023,11,23,True,27.95,1.8942915269726321,1.5593256396967385,28.0,-1.4406743603032615
case2,77023,12,24,True,24.85,2.8026055965798564,2.8026055965798564,24.85,-0.19739440342014358
case2,77023,13,25,True,26.75,1.4694141153957037,1.4694141153957037,26.75,-1.5305858846042963
case2,77023,14,26,True,26.25,2.0405607162776627,0.867898312110266,26.3,-2.132101687889734
case2,77023,15,27,True,27.55,1.5008528232593163,1.5008528232593163,27.55,-1.4991471767406837
case2,77023,16,20,True,29.3,1.1296580806026744,1.1296580806026744,29.3,-1.8703419193973256
case2,77023,17,21,False,,,3.4878920093368047,26.150000000000002,0.48789200933680466
case2,77023,18,22,True,64.35,2.901243230774352,2.901243230774352,64.35000000000001,-0.09875676922564791
case2,77023,19,23,True,27.95,0.6339186332636982,0.6339186332636982,27.950000000000003,-2.3660813667363016
