condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves,case4_geometry
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,36,99436,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05902777777777872,0.2172901187391801,1.517871378199046,26.456250000000242,0.6275989371855788,1.8812040117168687,441541.36371685565,28.8,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,37,99437,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05729166666666778,0.14346120797918016,1.6442665387574587,27.487500000000253,0.9027524372601798,2.54347913633363,441614.71994666755,29.200000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,38,99438,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04583333333333413,0.14844577592724073,1.5999591009554062,27.23125000000025,0.7076152801465618,2.315342504117701,441621.93557162845,29.700000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,39,99439,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05381944444444516,0.14908341934481642,1.266983665820611,27.10000000000025,0.6304039040768215,2.5252115073953934,441594.11266931426,28.25,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,40,99440,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05520833333333426,0.1793976179877557,1.3679471560095116,26.925000000000246,0.7664552828173606,2.8188547495103458,441576.2300049628,28.450000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,41,99441,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.047916666666667496,0.15992410289895548,1.1852621075925736,27.18125000000025,0.8192123376054596,2.723847107847904,441566.95657941606,28.650000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,42,99442,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.043055555555556214,0.15244535495139833,1.6531971238969794,26.037500000000236,1.0351299625212294,2.776112630480506,441579.38966524287,29.200000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,43,99443,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04270833333333394,0.15680578450344523,1.2278668896017433,27.23125000000025,0.7931308879340151,2.5412573029161174,441628.97658365424,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,44,99444,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05347222222222303,0.16830573611205304,1.3698342328990687,26.950000000000248,0.8148249529988808,2.990335998773271,441612.07926011726,28.900000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,45,99445,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04201388888888939,0.19021277575740037,1.7569274427986192,26.193750000000236,1.1785024709050547,2.8026884731779367,441564.5196354069,30.5,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,46,99446,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0402777777777783,0.15945799474043448,1.4653250756103136,26.956250000000246,0.989831641848148,2.8995894658418093,441572.98322365026,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,47,99447,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05381944444444516,0.16744739040644138,1.349776360784904,26.850000000000247,0.850715854424652,2.482788004202517,441546.80753670225,29.400000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,48,99448,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.050347222222222834,0.17779500164813578,1.5326120944701693,26.825000000000244,0.8382527673598188,2.777533179778356,441546.5873520354,29.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,49,99449,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05173611111111195,0.18927500045876894,1.4756786933455324,26.65625000000024,0.7208265257565734,2.523041006427108,441595.71673466713,29.150000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,50,99450,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.048611111111111896,0.15210063666430773,1.5050554258666868,26.650000000000244,0.8062701115535995,2.672169983484015,441619.3564970604,30.150000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,51,99451,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04652777777777869,0.1717173474123726,1.6634731561604124,25.918750000000234,0.9050417322260635,2.260813225249111,441548.95035285864,27.400000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,52,99452,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.048958333333334034,0.1672836728342797,1.3758224454537968,26.837500000000247,0.8250976377321182,2.5110255759779214,441619.61683936586,28.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,53,99453,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.0569444444444452,0.1781746937601411,1.1991081588177133,27.443750000000257,0.6996678012900495,2.728013334063867,441551.28173139784,28.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,54,99454,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.053472222222222886,0.18760218644457452,1.4580194011528582,25.975000000000236,0.8598407576999328,2.7669401216667926,441551.77091410215,27.25,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,55,99455,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05520833333333427,0.1418745597155796,1.2394394621117402,27.85000000000026,0.6270568251876312,2.6099431032235607,441621.2434091565,29.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,56,99456,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04895833333333388,0.17121461020530468,1.610145929621022,26.975000000000247,0.9205369012601942,2.980426160933922,441634.428981469,29.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,57,99457,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.04861111111111175,0.14665791013663798,1.4079394453780552,27.412500000000257,0.7769707138825618,2.940668269984623,441617.90219051705,29.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,58,99458,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.049305555555556456,0.142250100436062,1.6533475465348964,26.81250000000025,0.9866780062876378,2.426440756035692,441608.25526728155,29.400000000000002,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,59,99459,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.050000000000000856,0.1500237611049793,1.5519692863280798,26.981250000000248,0.7208872999019841,2.520020501384285,441545.13498515903,29.05,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,60,99460,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05833333333333431,0.20800203679976553,1.2696116482311273,26.262500000000237,0.8453033623309274,2.229047059236113,441553.7104671564,28.35,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,61,99461,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.047916666666667496,0.13337630339474926,1.1449793208884163,26.862500000000246,0.5986952162687367,2.290178438380841,441634.415774321,30.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,62,99462,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.05069444444444556,0.17570861452741732,1.5402696764382109,26.51250000000024,0.8574849034871275,2.70564144461646,441547.30317717826,28.700000000000003,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
final_case4_case2geom_fixed_bangbang_n100_clean,case4,full,63,99463,bangbang,fixed,1,1,1,1,mission_success,8,8,8,0.061805555555556335,0.1518610563886629,1.616041108622514,27.743750000000258,0.7910294589279788,2.998497783938941,441637.1707533274,28.75,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,paper_case2_preset
