case,variant,variant_label,analysis_stratum,metric,N_episodes,mean,std,median,q1,q3,mean_ci95_low,mean_ci95_high
case1,no_gru,w/o GRU,strict_all_8_groups_complete,E_co_time_s,92,0.013836050724637597,0.0030583357032020163,0.014236111111110894,0.01145833333333372,0.014583333333333986,0.01322086352656994,0.014462560386473337
case1,no_gru,w/o GRU,strict_all_8_groups_complete,E_n_terminal_sample_g,92,0.2713153373102365,0.030561713978325435,0.2694217929514099,0.24933013335446957,0.2938235964531543,0.26508123811684114,0.2775831158543975
case1,no_gru,w/o GRU,strict_all_8_groups_complete,E_miss_m,92,1.7268451351839835,0.14870097623888698,1.7314481265776138,1.594920160721421,1.8437548003518471,1.6958282461146665,1.7575800985338466
case1,no_gru,w/o GRU,strict_all_8_groups_complete,E_t_s,92,35.28396739130435,0.031054392581637225,35.29375,35.2625,35.306250000000006,35.277649456521736,35.290217391304346
case1,no_gru,w/o GRU,complete_group_conditioned_episode,E_co_time_s,100,0.013927579365079275,0.0031423458168308343,0.014236111111110894,0.01145833333333372,0.01536458333333296,0.013331832837301551,0.014532750496031692
case1,no_gru,w/o GRU,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.27107679354254033,0.029567643957433467,0.2694217929514099,0.2500574762222284,0.29304968695853495,0.2651065468219216,0.27691000927456094
case1,no_gru,w/o GRU,complete_group_conditioned_episode,E_miss_m,100,1.7263921043876431,0.1535591628272579,1.7314481265776138,1.594920160721421,1.8437548003518471,1.696450532917129,1.7565458779089016
case1,no_gru,w/o GRU,complete_group_conditioned_episode,E_t_s,100,35.273678571428576,0.15247163156899937,35.29375,35.2609375,35.307812500000004,35.24399107142858,35.302536383928576
case1,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_co_time_s,81,0.013601680384087825,0.0027377707769224414,0.014236111111110747,0.011458333333333126,0.014583333333333837,0.013001543209876568,0.014184670781893045
case1,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_n_terminal_sample_g,81,0.314227313289683,0.03735832838677422,0.31501661492005606,0.2821860438985272,0.34684531237521293,0.30628082360284486,0.3222307850960251
case1,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_miss_m,81,1.7383203296642424,0.19724583475667853,1.735493490342407,1.5667576963131806,1.8706247237919762,1.6955480721654912,1.779804521572768
