update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
22,90112,287898.6282650642,0.0,0.0,0.6499999999999999,0.71875,0.53125,0.53125,0.11562500000000164,0.44839687630056124,0.16795249081975716,0.5863466443070258,-0.017550609610043465,0.15587534494698047,2.8673025727272035,0.009347859919944312,0.9806474149227142,2.0303739696741103,0.2210365269333124,0.07949112337015261,0.0002844089081557921,454.27145504951477
23,94208,298923.06202603877,0.0,0.0,0.6749999999999999,0.8125,0.5,0.5,0.1252083333333351,0.4512769226581964,0.1714843196813208,0.5856241670368725,-0.011293063050834462,0.16309879198670388,2.865212607383728,0.015114087642723461,0.9678393125534057,3.047802799940109,0.2507723070681095,0.1403165070486637,0.00028298743509506643,473.60072112083435
24,98304,276851.95784208784,0.0,0.0,0.625,0.6875,0.5,0.5,0.1216666666666684,0.45157666357469894,0.17285922867193362,0.5778993585565808,-0.011996006779372691,0.15747957602143287,2.862180268764496,0.013894774008076639,0.9696362286806106,3.6508020758628845,0.32461898885667323,0.1651230251932794,0.00028150784866655745,492.99614453315735
25,102400,287951.0885274857,0.0,0.0,0.65,0.8125,0.46875,0.46875,0.1125000000000016,0.45272739433926956,0.1722757963919369,0.5751207687344134,-0.007103599002584815,0.16238255351781844,2.8588539361953735,0.014231362211285159,1.0102124720811845,4.294786912202835,0.2699147179722786,0.26655017985641505,0.00027997079786577344,512.8402972221375
26,106496,293313.64001257345,0.0,0.0,0.6625000000000001,0.71875,0.53125,0.53125,0.116458333333335,0.45504208315481637,0.17488616559885736,0.5809312638580931,-0.01094858234282583,0.1650188084691763,2.855478525161743,-0.003454559709643945,0.9948558658361435,4.471239167451858,0.5691737446933984,0.11113264453860602,0.0002783769568939956,532.629786491394
27,110592,298923.33952474594,0.0,0.0,0.675,0.84375,0.46875,0.46875,0.1275000000000018,0.45759417110044265,0.17546483907892832,0.5736913133035016,-0.01027379281586036,0.16230385676026343,2.851860594749451,0.013074688424239866,0.9551005452871323,3.5449966847896577,0.41827879175543786,0.17655266972782263,0.00027672702486255114,552.1928992271423
28,114688,293165.2323117825,0.0,0.0,0.6625000000000001,0.71875,0.5625,0.5625,0.12125000000000172,0.4593696923397411,0.17729256802791254,0.5775431186202041,-0.015157746791373938,0.1606866881251335,2.8486080050468443,0.014454971347004176,0.9953572243452072,3.043077313899994,0.41401142328977586,0.09234016421428155,0.0002750217254861598,571.373551607132
29,118784,282262.64519223676,0.0,0.0,0.6375,0.6875,0.53125,0.53125,0.12104166666666838,0.4599654874547916,0.17779901627879802,0.5730696700749122,-0.011274958052672446,0.1550609603524208,2.8448958516120912,0.01790297845727764,0.9749424606561661,3.607933259010315,0.3732937715947628,0.1341542684033897,0.00027326180676548863,591.1233832836151
30,122880,287940.3210552931,0.0,0.0,0.65,0.71875,0.53125,0.53125,0.10625000000000151,0.46148706045388116,0.18194100306285552,0.5831337935855981,-0.009550012100953608,0.15917780846357346,2.841339099407196,0.0071673043312330265,1.0474317222833633,4.8311039209365845,0.4033118948340416,0.127875806467145,0.0002714480406590545,610.1595532894135
31,126976,320809.25913487095,0.0,0.0,0.7250000000000001,0.84375,0.59375,0.59375,0.10937500000000154,0.46669971030528223,0.1814937508592294,0.5705109327836266,-0.004066524031804875,0.17033687531948088,2.8373807311058044,0.013067668411531485,139.98438763916494,3.2369475662708282,0.6260064080357551,0.1354346428036869,0.0002695812227446172,629.6668665409088
32,131072,287934.71136964485,0.0,0.0,0.65,0.71875,0.53125,0.53125,0.09916666666666807,0.46818744518151717,0.1807944531768278,0.5645369981815639,-0.0071198009885847565,0.15687128938734532,2.833083486557007,0.009834841071278789,1.0358593374490739,4.196011161804199,0.344458020105958,0.21516043157164744,0.00026766217187021294,647.0927586555481
