time,train_processes,training_done,training_failed,latest_update_sum,post_pipeline_complete,gpu_memory_mib,gpu_util_percent
2026-08-01T14:00:51+08:00,8,0,0,1230,0,5113,90
2026-08-01T14:01:51+08:00,8,0,0,1250,0,5113,98
2026-08-01T14:02:51+08:00,8,0,0,1270,0,5113,99
2026-08-01T14:03:51+08:00,8,0,0,1288,0,5113,99
2026-08-01T14:04:51+08:00,8,0,0,1308,0,5113,96
2026-08-01T14:05:51+08:00,8,0,0,1328,0,5113,99
2026-08-01T14:06:51+08:00,8,0,0,1346,0,5113,99
2026-08-01T14:07:51+08:00,8,0,0,1365,0,5113,98
2026-08-01T14:08:51+08:00,8,0,0,1387,0,5113,91
2026-08-01T14:09:51+08:00,8,0,0,1406,0,5113,93
2026-08-01T14:10:51+08:00,8,0,0,1424,0,5113,99
2026-08-01T14:11:51+08:00,8,0,0,1445,0,5113,99
2026-08-01T14:12:51+08:00,8,0,0,1464,0,5113,95
2026-08-01T14:13:51+08:00,8,0,0,1483,0,5113,98
2026-08-01T14:14:51+08:00,8,0,0,1504,0,5117,96
2026-08-01T14:15:51+08:00,8,0,0,1523,0,5117,99
2026-08-01T14:16:51+08:00,8,0,0,1542,0,5117,98
2026-08-01T14:17:51+08:00,8,0,0,1561,0,5117,99
2026-08-01T14:18:51+08:00,8,0,0,1582,0,5117,96
2026-08-01T14:19:51+08:00,8,0,0,1601,0,5117,99
2026-08-01T14:20:51+08:00,8,0,0,1620,0,5117,97
2026-08-01T14:21:51+08:00,8,0,0,1640,0,5117,97
2026-08-01T14:22:51+08:00,8,0,0,1659,0,5117,99
2026-08-01T14:23:51+08:00,8,0,0,1679,0,5117,94
2026-08-01T14:24:51+08:00,8,0,0,1698,0,5117,98
2026-08-01T14:25:51+08:00,8,0,0,1719,0,5117,99
2026-08-01T14:26:52+08:00,8,0,0,1737,0,5117,99
2026-08-01T14:27:52+08:00,8,0,0,1757,0,5117,98
2026-08-01T14:28:52+08:00,8,0,0,1777,0,5117,98
2026-08-01T14:29:52+08:00,8,0,0,1794,0,5117,98
2026-08-01T14:30:52+08:00,8,0,0,1815,0,5117,99
2026-08-01T14:31:52+08:00,8,0,0,1836,0,5117,97
2026-08-01T14:32:52+08:00,8,0,0,1854,0,5117,97
2026-08-01T14:33:52+08:00,8,0,0,1874,0,5117,92
2026-08-01T14:34:52+08:00,8,0,0,1894,0,5117,94
2026-08-01T14:35:52+08:00,8,0,0,1913,0,5117,94
2026-08-01T14:36:52+08:00,8,0,0,1932,0,5117,93
2026-08-01T14:37:52+08:00,8,0,0,1952,0,5117,99
2026-08-01T14:38:52+08:00,8,0,0,1973,0,5117,95
2026-08-01T14:39:52+08:00,8,0,0,1991,0,5117,86
2026-08-01T14:40:52+08:00,8,0,0,2010,0,5117,95
2026-08-01T14:41:52+08:00,8,0,0,2030,0,5117,96
2026-08-01T14:42:52+08:00,8,0,0,2049,0,5117,99
2026-08-01T14:43:52+08:00,8,0,0,2069,0,5410,99
2026-08-01T14:44:52+08:00,8,0,0,2088,0,5175,98
2026-08-01T14:45:52+08:00,8,0,0,2107,0,5175,99
2026-08-01T14:46:52+08:00,8,0,0,2127,0,5175,95
2026-08-01T14:47:52+08:00,8,0,0,2146,0,5175,97
2026-08-01T14:48:52+08:00,8,0,0,2166,0,5175,98
2026-08-01T14:49:52+08:00,8,0,0,2186,0,5175,92
2026-08-01T14:50:52+08:00,8,0,0,2204,0,5175,99
2026-08-01T14:51:52+08:00,8,0,0,2223,0,5175,99
2026-08-01T14:52:52+08:00,8,0,0,2243,0,5175,99
2026-08-01T14:53:52+08:00,8,0,0,2263,0,5115,98
2026-08-01T14:54:53+08:00,8,0,0,2281,0,5115,98
2026-08-01T14:55:53+08:00,8,0,0,2298,0,5115,95
2026-08-01T14:56:53+08:00,8,0,0,2316,0,5119,86
2026-08-01T14:57:53+08:00,8,0,0,2334,0,5119,72
2026-08-01T14:58:53+08:00,8,0,0,2349,0,5119,99
2026-08-01T14:59:53+08:00,8,0,0,2364,0,5119,72
2026-08-01T15:00:53+08:00,8,0,0,2381,0,5119,74
2026-08-01T15:01:53+08:00,8,0,0,2397,0,5119,78
2026-08-01T15:02:53+08:00,8,0,0,2414,0,5119,98
2026-08-01T15:03:53+08:00,8,0,0,2433,0,5119,92
2026-08-01T15:04:53+08:00,8,0,0,2450,0,5119,99
2026-08-01T15:05:53+08:00,8,0,0,2469,0,5119,99
2026-08-01T15:06:53+08:00,8,0,0,2489,0,5119,93
2026-08-01T15:07:53+08:00,8,0,0,2507,0,5119,98
2026-08-01T15:08:53+08:00,8,0,0,2527,0,5119,99
2026-08-01T15:09:53+08:00,8,0,0,2547,0,5119,99
2026-08-01T15:10:53+08:00,8,0,0,2565,0,5115,93
2026-08-01T15:11:53+08:00,8,0,0,2584,0,5115,99
2026-08-01T15:12:53+08:00,8,0,0,2603,0,5115,99
2026-08-01T15:13:53+08:00,8,0,0,2622,0,5115,99
2026-08-01T15:14:53+08:00,8,0,0,2641,0,5115,99
2026-08-01T15:15:53+08:00,8,0,0,2659,0,5115,99
2026-08-01T15:16:54+08:00,8,0,0,2679,0,5115,97
2026-08-01T15:17:54+08:00,8,0,0,2698,0,5119,97
2026-08-01T15:18:54+08:00,8,0,0,2716,0,5119,99
2026-08-01T15:19:54+08:00,8,0,0,2735,0,5119,99
2026-08-01T15:20:54+08:00,8,0,0,2756,0,5119,96
2026-08-01T15:21:54+08:00,8,0,0,2773,0,5119,99
